Synset ID,Lemmas,Definition,New Definution,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas
oewn-10802308-n,wingman,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,,,,,,,,
oewn-10612800-n,"gun, gunman",a person who shoots a gun (as regards their ability),,,,,,,,
oewn-10540693-n,"service man, repairman, maintenance man",a skilled worker whose job is to repair things,,,,,,,,
oewn-09800117-n,aircrewman,a member of an aircrew,,,,,,,,
oewn-10270224-n,"secular, layman, layperson",someone who is not a clergyman or a professional person,,,,,,,,
oewn-10168183-n,"groundkeeper, groundskeeper, groundsman",someone who maintains the grounds (of an estate or park or athletic field),,,,,,,,
oewn-10098586-n,"granger, sodbuster, husbandman, farmer",a person who operates a farm,,,,,,,,
oewn-09974358-n,"con artist, con man, confidence man",a swindler who exploits the confidence of his victim,,,,,,,,
oewn-09863364-n,"batter, slugger, batsman, hitter",(baseball) a ballplayer who is batting,,,,,,,,
oewn-10242167-n,"jobber, wholesaler, middleman",someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers,,,,,,,,
oewn-10341290-n,Minuteman,an American militiaman prior to and during the American Revolution,,,,,,,,
oewn-09951887-n,coalman,someone who delivers coal,,,,,,,,
oewn-10290474-n,longbowman,a medieval English archer who used a longbow,,,,,,,,
oewn-10337158-n,"MP, military policeman",a member of the military police who polices soldiers and guards prisoners,,,,,,,,
oewn-10359063-n,"muscle, muscleman",a bully employed as a thug or bodyguard,,,,,,,,
oewn-09868183-n,"bellboy, bellhop, bellman",someone employed as an errand boy and luggage carrier around hotels,,,,,,,,
oewn-10076527-n,"corner man, end man",a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor,,,,,,,,
oewn-10613153-n,"impresario, showman, promoter",a sponsor who books and stages public entertainments,,,,,,,,
oewn-10748276-n,tribesman,someone who lives in a tribe,,,,,,,,
oewn-10494882-n,"printer, pressman",someone whose occupation is printing,,,,,,,,
oewn-10189389-n,"steerer, steersman, helmsman",the person who steers a ship,,,,,,,,
oewn-09831257-n,"gunner, artilleryman, cannoneer, machine gunner",a serviceman in the artillery,,,,,,,,
oewn-10809832-n,"woodman, woodsman, woodworker",makes things out of wood,,,,,,,,
oewn-10518136-n,"quarrier, quarryman",a man who works in a quarry,,,,,,,,
oewn-10803789-n,"smart aleck, weisenheimer, wise guy, wiseacre, wisenheimer","an upstart who makes conceited, sardonic, insolent comments",,,,,,,,
oewn-10112257-n,"first baseman, first sacker",(baseball) the person who plays first base,,,,,,,,
oewn-09943653-n,city man,a financier who works in one of the banks in the City of London,,,,,,,,
oewn-09882251-n,"bodybuilder, muscle builder, muscle-builder, musclebuilder, muscleman",someone who does special exercises to develop a brawny musculature,,,,,,,,
oewn-10577282-n,"scholar, scholarly person, bookman",a learned person; someone who by long study has gained mastery in one or more disciplines,,,,,,,,
oewn-09995160-n,craftsman,a professional whose work is consistently of high quality,,,,,,,,
oewn-10663740-n,"groom, stableboy, stableman, ostler, hostler",someone employed in a stable to take care of the horses,,,,,,,,
oewn-09881352-n,"boater, boatman, waterman",someone who drives or rides in a boat,,,,,,,,
oewn-10587628-n,"second baseman, second sacker",(baseball) the person who plays second base,,,,,,,,
oewn-09799988-n,"aircraftman, aircraftsman",a noncommissioned officer in the British Royal Air Force,,,,,,,,
oewn-10133352-n,"straw man, strawman, figurehead, front, front man, nominal head",a person used as a cover for some questionable activity,,,,,,,,
oewn-10205969-n,"horticulturist, plantsman",an expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),,,,,,,,
oewn-10265038-n,"landlubber, landsman, lubber",an inexperienced sailor; a sailor on the first voyage,,,,,,,,
oewn-10055860-n,"drug baron, drug lord",a person who controls an organization dealing in illegal drugs,,,,,,,,
oewn-10109789-n,"financier, moneyman",a person skilled in large scale financial transactions,,,,,,,,
oewn-10701616-n,"swagger, swaggie, swagman",an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,,,,,,,,
oewn-09897417-n,"chum, sidekick, brother, buddy, pal, crony",a close friend who accompanies his buddies in their activities,,,,,,,,
oewn-10716631-n,"Ted, Teddy boy",a tough youth of 1950's and 1960's wearing Edwardian style clothes,,,,,,,,
oewn-10586524-n,sea king,a Viking pirate chief,,,,,,,,
oewn-10732903-n,T-man,a special law-enforcement agent of the United States Treasury,,,,,,,,
oewn-10467639-n,point man,a soldier who goes ahead of a patrol,,,,,,,,
oewn-10402793-n,organization man,an employee who sacrifices his own individuality for the good of an organization,,,,,,,,
oewn-09856847-n,bandsman,a player in a band (especially a military band),,,,,,,,
oewn-10294512-n,"underclassman, lowerclassman",an undergraduate who is not yet a senior,,,,,,,,
oewn-10311713-n,"rich man, wealthy man, man of means",a man who is wealthy,,,,,,,,
oewn-09943771-n,"city boy, city slicker",a city dweller with sophisticated manners and clothing,,,,,,,,
oewn-10791760-n,"weather forecaster, weatherman",predicts the weather,,,,,,,,
oewn-10281085-n,"bargee, bargeman, lighterman",someone who operates a barge,,,,,,,,
oewn-10167369-n,grocery boy,a delivery boy for groceries,,,,,,,,
oewn-10079131-n,"otolaryngologist, otorhinolaryngologist, rhinolaryngologist, ENT man, ear-nose-and-throat doctor",a specialist in the disorders of the ear or nose or throat,,,,,,,,
oewn-10265204-n,"landlubber, landman, landsman",a person who lives and works on land,,,,,,,,
oewn-10595149-n,"seedman, seedsman",a dealer in seeds,,,,,,,,
oewn-10134928-n,fugleman,a leader and organizer and spokesman (especially a political leader),,,,,,,,
oewn-10076419-n,end man,a man at one end of a row of people,,,,,,,,
oewn-10353551-n,"speed cop, motorcycle cop, motorcycle policeman",a policeman who rides a motorcycle (and who checks the speeds of motorists),,,,,,,,
oewn-10762654-n,utility man,a baseball player valued for the ability to play at several positions,,,,,,,,
oewn-09994178-n,"journeyman, artificer, artisan, craftsman",a skilled worker who practices some trade or handicraft,,,,,,,,
oewn-10416607-n,paperboy,a boy who sells or delivers newspapers,,,,,,,,
oewn-10397093-n,ombudsman,a government appointee who investigates complaints by private persons against the government,,,,,,,,
oewn-10768791-n,"warhorse, stager, old hand, old stager, old-timer, oldtimer, veteran",an experienced person who has been through many battles; someone who has given long service,,,,,,,,
oewn-10106152-n,"fielder, fieldsman",a member of the cricket team that is fielding rather than batting,,,,,,,,
oewn-10550252-n,rifleman,someone skilled in the use of a rifle,,,,,,,,
oewn-09892601-n,brakeman,a railroad employee responsible for a train's brakes,,,,,,,,
oewn-10039277-n,"diver, underwater diver, frogman",someone who works underwater,,,,,,,,
oewn-10378021-n,night watchman,a watchman who works during the night,,,,,,,,
oewn-10115433-n,"flatfoot, patrolman",a policeman who patrols a given region,,,,,,,,
oewn-10566407-n,"saint, holy man, holy person, angel",person of exceptional holiness,,,,,,,,
oewn-10674608-n,"stevedore, dock worker, dock-walloper, docker, dockhand, dockworker, loader, longshoreman, lumper",a laborer who loads and unloads vessels in a port,,,,,,,,
oewn-10602198-n,"man, military personnel, serviceman, military man",someone who serves in the armed forces; a member of a military force,,,,,,,,
oewn-10007930-n,"dairy farmer, dairyman",the owner or manager of a dairy,,,,,,,,
oewn-09956514-n,"college boy, college man, collegian",a student (or former student) at a college or university,,,,,,,,
oewn-83226323-n,golf widower,a husband who is left alone much of the time because his wife is playing golf,,,,,,,,
oewn-09965916-n,company man,an employee whose first loyalty is to the company rather than to fellow workers,,,,,,,,
oewn-10183493-n,head linesman,a football official in charge of recording yardage gained or lost,,,,,,,,
oewn-09940867-n,"mark, gull, sucker, mug, soft touch, patsy, fall guy, fool, chump",a person who is gullible and easy to take advantage of,,,,,,,,
oewn-10822446-n,yardman,a laborer hired to do outdoor work (such as mowing lawns),,,,,,,,
oewn-10769021-n,"vet, veteran, ex-serviceman",a person who has served in the armed forces,,,,,,,,
oewn-10341412-n,"miracle man, miracle worker",a person who claims or is alleged to perform miracles,,,,,,,,
oewn-09850005-n,"backroom boy, brain truster",an expert adviser involved in making important decisions but usually lacking official status,,,,,,,,
oewn-09775831-n,"able seaman, able-bodied seaman",a seaman in the merchant marine; trained in special skills,,,,,,,,
oewn-10136924-n,"gagman, gagster, gagwriter",someone who writes comic material for public performers,,,,,,,,
oewn-10801360-n,"feral man, wild man",a person who is not socialized,,,,,,,,
oewn-10483744-n,"sermoniser, sermonizer, preacher, preacher man",someone whose occupation is preaching the gospel,,,,,,,,
oewn-10607214-n,sheepman,a man who raises (or tends) sheep,,,,,,,,
oewn-10739341-n,townsman,a person from the same town as yourself,,,,,,,,
oewn-10680322-n,"second banana, straight man",a performer who acts as stooge to a comedian,,,,,,,,
oewn-10550684-n,"right-hand man, chief assistant, man Friday",the most helpful assistant,,,,,,,,
oewn-09852122-n,bagman,a racketeer assigned to collect or distribute payoff money,,,,,,,,
