Synset ID,Lemmas,Definition,New Definution,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas
oewn-09951966-n,"pitman, coal miner, collier",someone who works in a coal mine,,,,,,,,
oewn-09717733-n,"Chinaman, chink",(ethnic slur) offensive term for a person of Chinese descent,,,,,,,,
oewn-10105218-n,ferryman,a man who operates a ferry,,,,,,,,
oewn-10457357-n,plainclothesman,a detective who wears civilian clothes on duty,,,,,,,,
oewn-89782767-n,first gentleman,the husband of a chief executive,,,,,,,,
oewn-10737570-n,"tough guy, plug-ugly",someone who bullies weaker people,,,,,,,,
oewn-10069171-n,"lineman, linesman, electrician",a person who installs or repairs electrical or telephone lines,,,,,,,,
oewn-10762538-n,utility man,a workman expected to serve in any capacity when called on,,,,,,,,
oewn-10212645-n,"hunter, huntsman",someone who hunts game,,,,,,,,
oewn-10738916-n,"towner, townsman",a resident of a town or city,,,,,,,,
oewn-09987658-n,"barrow-boy, barrow-man, costermonger",a hawker of fruit and vegetables from a barrow,,,,,,,,
oewn-10334361-n,midshipman,a temporary rank held by young naval officers in training,,,,,,,,
oewn-10048994-n,"draftsman, draftsperson, draughtsman",a skilled worker who draws plans of buildings or machines,,,,,,,,
oewn-09824747-n,"bowman, archer",a person who is expert in the use of a bow and arrow,,,,,,,,
oewn-10724535-n,thane,a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land),,,,,,,,
oewn-09908991-n,"camera operator, cameraman, cinematographer",a photographer who operates a movie camera,,,,,,,,
oewn-10613451-n,showman,a person skilled at making effective presentations,,,,,,,,
oewn-10502980-n,"property man, property master, propman",member of the stage crew in charge of properties,,,,,,,,
oewn-09951794-n,coachman,a man who drives a coach (or carriage),,,,,,,,
oewn-10207609-n,"hosteller, hotel manager, hotelier, hotelkeeper, hotelman",an owner or manager of hotels,,,,,,,,
