Synset ID,Lemmas,Definition,New Definition,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas,Generic Lemma,
oewn-09812410-n,"anchor, anchorman, anchorperson",a television reporter who coordinates a broadcast to which several correspondents contribute,,FALSE,FALSE,,a male television reporter who coordinates a broadcast to which several correspondents contribute,anchorman,a female television reporter who coordinates a broadcast to which several correspondents contribute,anchorwoman,,
oewn-10179208-n,hangman,an executioner who hangs the condemned person,a male executioner who hangs the condemned person,TRUE,FALSE,,,,a female executioner who hangs the condemned person,hangwoman,,
oewn-09744816-n,"Norse, Norwegian, Norseman",a native or inhabitant of Norway,,FALSE,FALSE,,a male native or inhabitant of Norway,Norseman,a female native or inhabitant of Norway,Norsewoman,,
oewn-10667676-n,"backup, relief, substitute, stand-in, backup man, reliever, fill-in",someone who takes the place of another (as when things get dangerous or difficult),,FALSE,FALSE,,a man who takes the place of another (as when things get dangerous or difficult),backup man,a woman who takes the place of another (as when things get dangerous or difficult),backup woman,,
oewn-10611357-n,shop boy,a young male shop assistant,,FALSE,TRUE,,,,,,,
oewn-10524138-n,"rafter, raftman, raftsman",someone who travels by raft,,FALSE,FALSE,,a man who travels by raft,"raftman, raftsman",a woman who travels by raft,raftswoman,,raftwoman is unattested
oewn-09921470-n,"beef man, cattleman, cow man",a man who raises (or tends) cattle,,TRUE,FALSE,,,,a woman who raises (or tends) cattle,cattlewoman,,
oewn-10703076-n,"swineherd, pigman",a herder or swine,,FALSE,FALSE,,a male herder or swine,pigman,,,,
oewn-10181609-n,"iceman, hatchet man",a professional killer,a male professional killer,TRUE,FALSE,,,,,,,
oewn-10121750-n,footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,,TRUE,FALSE,,,,,,,
oewn-10314263-n,"gob, sea dog, seafarer, seaman, old salt, Jack, Jack-tar, tar, mariner",a man who serves as a sailor,,TRUE,FALSE,,,,,,,
oewn-10224757-n,doughboy,an American infantryman in World War I,,TRUE,FALSE,,,,,,,
oewn-10718758-n,"tellurian, worldling, earthling, earthman",an inhabitant of the earth,,FALSE,FALSE,,a male inhabitant of the earth,earthman,a female inhabitant of the earth,earthwoman,,
oewn-10658757-n,"sporting man, outdoor man",someone who enjoys outdoor activities,,FALSE,FALSE,,a man who enjoys outdoor activities,"sporting man, outdoor man",a woman who enjoys outdoor activities,"sporting woman, outdoor woman",,
oewn-10462389-n,"ploughman, plower, plowman",a man who plows,,FALSE,FALSE,,a male man who plows,"ploughman, plowman",a female man who plows,"ploughwoman, plowwoman",,
oewn-10611560-n,"shopkeeper, storekeeper, tradesman, market keeper",a merchant who owns or manages a shop,,FALSE,FALSE,,a male merchant who owns or manages a shop,tradesman,a female merchant who owns or manages a shop,tradeswoman,,
oewn-09633435-n,"common man, common person, commoner",a person who holds no title,,FALSE,FALSE,,a male person who holds no title,common man,a female person who holds no title,common woman,,
oewn-09903843-n,"butcher, meatman",a retailer of meat,,FALSE,FALSE,,a male retailer of meat,meatman,,,,Not attested
oewn-10156479-n,"golf player, golfer, linksman",someone who plays the game of golf,,FALSE,FALSE,,a man who plays the game of golf,linksman,a woman who plays the game of golf,linkswoman,,
oewn-09994955-n,"crafter, craftsman",a creator of great skill in the manual arts,,FALSE,FALSE,,a male creator of great skill in the manual arts,craftsman,a female creator of great skill in the manual arts,craftswoman,,
oewn-10201076-n,homeboy,a male friend from your neighborhood or hometown,,TRUE,FALSE,,,,,,,
oewn-10776505-n,visiting fireman,an important or distinguished visitor,,FALSE,FALSE,,a male important or distinguished visitor,visiting fireman,a female important or distinguished visitor,visiting firewoman,visting firefighter,
oewn-10048793-n,"drawer, draftsman",an artist skilled at drawing,,FALSE,FALSE,,a male artist skilled at drawing,draftsman,a female artist skilled at drawing,draftswoman,,
oewn-10625393-n,"skilled worker, skilled workman, trained worker",a worker who has acquired special skills,,FALSE,FALSE,,a male worker who has acquired special skills,skilled workman,a female worker who has acquired special skills,skilled workwoman,,
oewn-10423378-n,"party liner, party man",a member of a political party who follows strictly the party line,,FALSE,FALSE,,a male member of a political party who follows strictly the party line,party man,a female member of a political party who follows strictly the party line,party woman,,
oewn-10770579-n,vice chairman,one ranking below or serving in the place of a chairman,,FALSE,FALSE,,a man ranking below or serving in the place of a chairman,vice chairman,a woman ranking below or serving in the place of a chairman,vice chairwoman,"vice chair, vice chairperson",Vice chairman is not a hyponym of chairman!
oewn-10195138-n,"highjacker, highwayman, hijacker, road agent",a holdup man who stops a vehicle and steals from it,someone stops a vehicle and steals from it,FALSE,FALSE,,a holdup man who stops a vehicle and steals from it,highwayman,a holdup woman who stops a vehicle and steals from it,highwaywoman,,
oewn-09864306-n,"beadsman, bedesman",a person who is paid to pray for the soul of another,,FALSE,FALSE,,a male person who is paid to pray for the soul of another,"beadsman, bedesman",a female person who is paid to pray for the soul of another,"beadswoman, bedeswoman",,Historical but attested as female
oewn-10141371-n,gasman,someone employed by a gas company,,FALSE,FALSE,,a man employed by a gas company,gasman,a woman employed by a gas company,gaswoman,gas worker,
oewn-10314614-n,"sharpshooter, crack shot, marksman",someone skilled in shooting,,FALSE,FALSE,,a man skilled in shooting,marksman,a woman skilled in shooting,markswoman,,
oewn-10537787-n,"fireman, relief pitcher, reliever",a pitcher who does not start the game,,FALSE,FALSE,,a male pitcher who does not start the game,fireman,a female pitcher who does not start the game,firewoman,,
oewn-09900824-n,"busboy, waiter's assistant",a restaurant attendant who sets tables and assists waiters and clears away dirty dishes,,FALSE,FALSE,,a male restaurant attendant who sets tables and assists waiters and clears away dirty dishes,busboy,,,,
oewn-10200554-n,"stickup man, holdup man",an armed thief,,FALSE,FALSE,,a male armed thief,"stickup man, holdup man",a female armed thief,"stickup woman, holdup woman",,
oewn-10046278-n,"porter, gatekeeper, ostiary, hall porter, door guard, doorkeeper, doorman",someone who guards an entrance,,FALSE,FALSE,,a man who guards an entrance,doorman,a woman who guards an entrance,doorwoman,,
oewn-10741786-n,trainbandsman,a member of a trainband,a male member of a trainband,TRUE,FALSE,,,,,,,Historically exclusively male
oewn-10607013-n,"sheepherder, sheepman, shepherd",a herder of sheep (on an open range); someone who keeps the sheep together in a flock,,FALSE,FALSE,,a male herder of sheep (on an open range); someone who keeps the sheep together in a flock,sheepman,a female herder of sheep (on an open range); someone who keeps the sheep together in a flock,sheepwoman,,
oewn-10201178-n,homeboy,a fellow male member of a youth gang,,TRUE,FALSE,,,,,,,
oewn-10555161-n,"rock climber, cragsman",a climber of vertical rock faces,,FALSE,FALSE,,a male climber of vertical rock faces,cragsman,a female climber of vertical rock faces,cragswoman,,
oewn-10802308-n,wingman,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,a pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,FALSE,FALSE,,a male pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,wingman,a female pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,wingwoman,,
oewn-10612800-n,"gun, gunman",a person who shoots a gun (as regards their ability),,FALSE,FALSE,,a male person who shoots a gun (as regards their ability),gunman,a female person who shoots a gun (as regards their ability),gunwoman,gunner,
oewn-10540693-n,"service man, repairman, maintenance man",a skilled worker whose job is to repair things,,FALSE,FALSE,,a male skilled worker whose job is to repair things,"service man, repairman, maintenance man",a female skilled worker whose job is to repair things,"service woman, repairwoman, maintenance woman",servicer,
oewn-09800117-n,aircrewman,a member of an aircrew,,FALSE,FALSE,,a male member of an aircrew,aircrewman,a female member of an aircrew,aircrewwoman,aircrew member,
oewn-10270224-n,"secular, layman, layperson",someone who is not a clergyman or a professional person,,FALSE,FALSE,,a man who is not a clergyman or a professional person,layman,a woman who is not a clergyman or a professional person,laywoman,,
