Synset ID,Lemmas,Definition,New Definition,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas,Generic Lemma,
oewn-83226323-n,golf widower,a husband who is left alone much of the time because his wife is playing golf,,TRUE,FALSE,,,,,,,
oewn-09940867-n,"mark, gull, sucker, mug, soft touch, patsy, fall guy, fool, chump",a person who is gullible and easy to take advantage of,,FALSE,FALSE,,a male person who is gullible and easy to take advantage of,fall guy,a female person who is gullible and easy to take advantage of,fall girl,,
oewn-09896590-n,"brother, comrade",used as a term of address for those male persons engaged in the same movement,,TRUE,FALSE,,,,,,,
oewn-10060037-n,Dutch uncle,a counselor who admonishes frankly and sternly,a male counselor who admonishes frankly and sternly,TRUE,FALSE,,,,,,,
oewn-10426650-n,patriarch,title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem),,TRUE,FALSE,,,,,,,
oewn-09880059-n,blood brother,a male sworn (usually by a ceremony involving the mingling of blood) to treat another as his brother,,TRUE,FALSE,,,,,,,
oewn-09659757-n,soul brother,a fellow Black man,,TRUE,FALSE,,,,,,,
oewn-89388690-n,king,the husband or widower of a queen,,TRUE,FALSE,,,,,,,
oewn-10737570-n,"tough guy, plug-ugly",someone who bullies weaker people,,FALSE,FALSE,,a man who bullies weaker people,tough guy,,,,
oewn-10724535-n,thane,a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land),,TRUE,FALSE,,,,,,,
