Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?
oewn-09899655-n,bunny girl,girl,F,
oewn-09899655-n,bunny girl,girl,F,
oewn-10608474-n,shepherdess,ess,F,
oewn-10167369-n,grocery boy,boy,M,
oewn-10167369-n,grocery boy,boy,M,
oewn-10535887-n,regent,gent,M,
oewn-10079131-n,ENT man,man,M,
oewn-11370954-n,Harriet Tubman,man,M,
oewn-11370954-n,Tubman,man,M,
oewn-10263180-n,lady's maid,maid,F,
oewn-09755870-n,Turcoman,man,M,
oewn-09755870-n,Turkoman,man,M,
oewn-10265204-n,landman,man,M,
oewn-10265204-n,landsman,man,M,
oewn-11369734-n,Harry S Truman,man,M,
oewn-11369734-n,Harry S. Truman,man,M,
oewn-11369734-n,Harry Truman,man,M,
oewn-11369734-n,Truman,man,M,
oewn-11369734-n,President Truman,man,M,
oewn-10595149-n,seedman,man,M,
oewn-10595149-n,seedsman,man,M,
oewn-10021357-n,superman,man,M,
oewn-10134928-n,fugleman,man,M,
oewn-10076419-n,end man,man,M,
oewn-11157918-n,Henry Wadsworth Longfellow,fellow,M,
oewn-11157918-n,Henry Wadsworth Longfellow,fellow,M,
oewn-11157918-n,Longfellow,fellow,M,
oewn-11157918-n,Longfellow,fellow,M,
oewn-10231336-n,International Grandmaster,master,M,
oewn-10565985-n,sailing master,master,M,
oewn-10126278-n,foster mother,mother,F,
oewn-10126278-n,foster mother,mother,F,
oewn-10126278-n,foster-mother,mother,F,
oewn-10126278-n,foster-mother,mother,F,
oewn-10353551-n,motorcycle policeman,policeman,M,
oewn-10353551-n,motorcycle policeman,man,M,
oewn-10278001-n,practical nurse,nurse,F,
oewn-10278001-n,licensed practical nurse,nurse,F,
oewn-10762654-n,utility man,man,M,
oewn-11117615-n,George S. Kaufman,man,M,
oewn-11117615-n,George Simon Kaufman,man,M,
oewn-11117615-n,Kaufman,man,M,
oewn-09994178-n,journeyman,man,M,
oewn-09994178-n,artificer,artificer,M,
oewn-09994178-n,craftsman,man,M,
oewn-10579111-n,Schoolman,man,M,
oewn-10579111-n,medieval Schoolman,man,M,
oewn-09901079-n,Bushman,man,M,
oewn-10416607-n,paperboy,boy,M,
oewn-10416607-n,paperboy,boy,M,
oewn-10293049-n,old maid,maid,F,
oewn-10293049-n,old maid,old maid,F,
oewn-10397093-n,ombudsman,man,M,
oewn-11282330-n,David Riesman,man,M,
oewn-11282330-n,Riesman,man,M,
oewn-10768791-n,old-timer,old-timer,M,
oewn-10768791-n,oldtimer,oldtimer,M,
oewn-10775729-n,viscountess,viscountess,M,
oewn-10609860-n,shipping agent,gent,M,
oewn-10106152-n,fieldsman,man,M,
oewn-11351058-n,Yves Tanguy,guy,M,
oewn-11351058-n,Tanguy,guy,M,
oewn-10550252-n,rifleman,man,M,
oewn-09892601-n,brakeman,man,M,
oewn-10039277-n,frogman,man,M,
oewn-10378021-n,night watchman,man,M,
oewn-10115433-n,patrolman,man,M,
oewn-10566407-n,holy man,man,M,
oewn-10674608-n,longshoreman,man,M,
oewn-10602198-n,man,man,M,
oewn-10602198-n,serviceman,man,M,
oewn-10602198-n,military man,man,M,
oewn-10429780-n,paymaster,master,M,
oewn-10007930-n,dairyman,man,M,
oewn-09932698-n,hatcheck girl,girl,F,
oewn-09932698-n,hatcheck girl,girl,F,
oewn-09932698-n,hatcheck girl,girl,F,
oewn-09932698-n,check girl,girl,F,
oewn-09932698-n,check girl,girl,F,
oewn-09932698-n,check girl,girl,F,
oewn-11107081-n,John of Gaunt,aunt,F,
oewn-09956514-n,college boy,boy,M,
oewn-09956514-n,college boy,boy,M,
oewn-09956514-n,college man,man,M,
oewn-10563270-n,ruralist,ruralist,M,
oewn-10131457-n,freshman,man,M,
oewn-83226323-n,golf widower,widower,M,
oewn-09965916-n,company man,man,M,
oewn-10630783-n,sleeping beauty,beauty,F,
oewn-10640876-n,sod,sod,M,
oewn-10067809-n,ejaculator,ejaculator,M,
oewn-10908153-n,Henry Cavendish,dish,F,
oewn-10908153-n,Cavendish,dish,F,
oewn-10183493-n,head linesman,man,M,
oewn-09649426-n,peer,peer,M,
oewn-09649426-n,compeer,peer,M,
oewn-09940867-n,fall guy,guy,M,
oewn-10742879-n,traitress,ess,F,
oewn-10822446-n,yardman,man,M,
oewn-09885360-n,booking agent,gent,M,
oewn-10769021-n,ex-serviceman,man,M,
oewn-10661153-n,undercover agent,gent,M,
oewn-10341412-n,miracle man,man,M,
oewn-10121077-n,football hero,hero,M,
oewn-10121077-n,football hero,hero,M,
oewn-10214185-n,hustler,hustler,F,
oewn-09754545-n,Ottoman,man,M,
oewn-10007754-n,dairymaid,maid,F,
oewn-10007754-n,milkmaid,maid,F,
oewn-10420317-n,parliamentary agent,gent,M,
oewn-09865763-n,bedfellow,fellow,M,
oewn-09865763-n,bedfellow,fellow,M,
oewn-10117611-n,flower girl,girl,F,
oewn-10117611-n,flower girl,girl,F,
oewn-10117611-n,flower girl,girl,F,
oewn-10302369-n,housemaid,maid,F,
oewn-10302369-n,amah,amah,F,
oewn-10302369-n,maid,maid,F,
oewn-09850005-n,backroom boy,boy,M,
oewn-09850005-n,backroom boy,boy,M,
oewn-10491317-n,prima donna,donna,F,
oewn-09775831-n,able seaman,man,M,
oewn-09775831-n,able-bodied seaman,man,M,
oewn-10136924-n,gagman,man,M,
oewn-11181402-n,Madonna,donna,F,
oewn-10709498-n,talent agent,gent,M,
oewn-10760525-n,upstart,tart,F,
oewn-10801360-n,feral man,man,M,
oewn-10801360-n,wild man,man,M,
oewn-10878468-n,Boswell,swell,M,
oewn-10878468-n,James Boswell,swell,M,
oewn-10483744-n,preacher man,man,M,
oewn-11229296-n,Greg Norman,man,M,
oewn-11229296-n,Gregory John Norman,man,M,
oewn-11229296-n,Norman,man,M,
oewn-10460611-n,playfellow,fellow,M,
