Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?,
oewn-10574739-n,whipping boy,boy,M,TRUE,
oewn-10394351-n,oilman,man,M,TRUE,
oewn-10188050-n,Heidelberg man,man,M,FALSE,
oewn-10188050-n,Homo heidelbergensis,sis,F,FALSE,
oewn-10569809-n,sandwichman,man,M,TRUE,
oewn-09894491-n,bridge agent,gent,M,FALSE,
oewn-11230095-n,Michel de Notredame,dame,F,FALSE,
oewn-11230095-n,Michel de Notredame,dame,F,FALSE,
oewn-10290325-n,lone wolf,wolf,M,FALSE,
oewn-10529403-n,house agent,gent,M,FALSE,
oewn-10529403-n,real estate agent,gent,M,FALSE,
oewn-10529403-n,land agent,gent,M,FALSE,
oewn-10529403-n,estate agent,gent,M,FALSE,
oewn-10810024-n,woodman,man,M,TRUE,
oewn-10810024-n,woodsman,man,M,TRUE,
oewn-11042305-n,Haile Selassie,lassie,F,FALSE,
oewn-10479599-n,potboy,boy,M,TRUE,
oewn-10479599-n,potboy,boy,M,TRUE,
oewn-10479599-n,potman,man,M,TRUE,
oewn-10799573-n,whoremaster,master,M,FALSE,
oewn-89433552-n,counterman,man,M,TRUE,
oewn-10295742-n,lumberman,man,M,TRUE,
oewn-10677940-n,stockman,man,M,TRUE,
oewn-10153164-n,government agent,gent,M,FALSE,
oewn-10117861-n,yes-man,man,M,TRUE,maybe not gendered?
oewn-11364087-n,Tobey,bey,M,FALSE,
oewn-11364087-n,Mark Tobey,bey,M,FALSE,
oewn-09972962-n,henchman,man,M,TRUE,
oewn-10539477-n,remittance man,man,M,TRUE,
oewn-10789727-n,watchman,man,M,TRUE,
oewn-10284625-n,linkboy,boy,M,TRUE,
oewn-10284625-n,linkboy,boy,M,TRUE,
oewn-10284625-n,linkman,man,M,TRUE,
oewn-10700641-n,subsister,sister,F,FALSE,
oewn-10110633-n,fingerprint man,man,M,TRUE,
oewn-10092134-n,expert witness,ess,F,FALSE,
oewn-10958355-n,Domingo de Guzman,man,M,FALSE,
oewn-10717864-n,TV newsman,newsman,M,TRUE,
oewn-10717864-n,TV newsman,man,M,TRUE,
oewn-11196517-n,Merman,man,M,FALSE,
oewn-11196517-n,Ethel Merman,man,M,FALSE,
oewn-10199158-n,hodman,man,M,TRUE,
oewn-09812410-n,anchorman,man,M,TRUE,
oewn-09826498-n,high priest,priest,M,FALSE,priest' is not gendered
oewn-09826498-n,archpriest,priest,M,FALSE,
oewn-10179208-n,hangman,man,M,TRUE,
oewn-09744816-n,Norseman,man,M,TRUE,
oewn-09793105-n,hostile witness,ess,F,FALSE,
oewn-09793105-n,adverse witness,ess,F,FALSE,
oewn-10524678-n,railbird,bird,F,FALSE,
oewn-10667676-n,backup man,man,M,TRUE,
oewn-10611357-n,shop boy,boy,M,TRUE,
oewn-10611357-n,shop boy,boy,M,TRUE,
oewn-10257373-n,Klansman,man,M,FALSE,
oewn-11281473-n,Armand Jean du Plessis,sis,F,FALSE,
oewn-10524138-n,raftman,man,M,TRUE,
oewn-10524138-n,raftsman,man,M,TRUE,
oewn-10155473-n,no-account,count,M,FALSE,
oewn-10194721-n,Highness,ess,F,TRUE,
oewn-10023237-n,den mother,mother,F,TRUE,
oewn-10023237-n,den mother,mother,F,TRUE,
oewn-09925746-n,chambermaid,maid,F,TRUE,
oewn-92465797-n,voice in the wilderness,ess,F,FALSE,
oewn-09921470-n,beef man,man,M,TRUE,
oewn-09921470-n,cattleman,cattleman,M,TRUE,
oewn-09921470-n,cattleman,man,M,TRUE,
oewn-09921470-n,cow man,man,M,TRUE,
oewn-10703076-n,pigman,man,M,TRUE,
oewn-10975740-n,Vagn Walfrid Ekman,man,M,FALSE,
oewn-10975740-n,Ekman,man,M,FALSE,
oewn-10181609-n,iceman,man,M,TRUE,
oewn-10181609-n,hatchet man,man,M,TRUE,
oewn-10509726-n,psycho,ho,F,FALSE,
oewn-10961507-n,Douglass,lass,F,FALSE,
oewn-10961507-n,Frederick Douglass,lass,F,FALSE,
oewn-10545875-n,bacchant,bacchant,M,FALSE,
oewn-09711521-n,Basotho,ho,F,FALSE,
oewn-11332357-n,Standish,dish,F,FALSE,
oewn-11332357-n,Miles Standish,dish,F,FALSE,
oewn-11332357-n,Myles Standish,dish,F,FALSE,
oewn-10121750-n,footman,man,M,TRUE,
oewn-09853646-n,ball-buster,buster,M,FALSE,
oewn-10520302-n,queen regent,gent,M,FALSE,
oewn-10633512-n,smasher,masher,M,FALSE,
oewn-10071491-n,embroideress,ess,F,TRUE,
oewn-10314263-n,seaman,man,M,TRUE,
oewn-10715051-n,tease,tease,F,FALSE,
oewn-09978048-n,consignor,signor,M,FALSE,
oewn-10224757-n,doughboy,boy,M,TRUE,
oewn-10224757-n,doughboy,boy,M,TRUE,
oewn-10718758-n,earthman,man,M,TRUE,
oewn-10408139-n,master,master,M,FALSE,
oewn-10422907-n,boss,boss,M,FALSE,
oewn-10422907-n,party boss,boss,M,FALSE,
oewn-10422907-n,political boss,boss,M,FALSE,
oewn-10658757-n,sporting man,man,M,TRUE,
oewn-10658757-n,outdoor man,man,M,TRUE,
oewn-10462389-n,ploughman,man,M,TRUE,
oewn-10462389-n,plowman,man,M,TRUE,
oewn-09767053-n,German,man,M,FALSE,
oewn-10746321-n,travel agent,gent,M,FALSE,
oewn-10182584-n,chief,chief,M,FALSE,
oewn-10611560-n,tradesman,man,M,TRUE,
oewn-09633435-n,common man,man,M,TRUE,
oewn-09903843-n,meatman,man,M,TRUE,
oewn-10156479-n,linksman,man,M,TRUE,
